ID,group,Abies firma,Distylium racemosum,Castanopsis sieboldii,Pinus densiflora,Pinus thunbergii,Machilus thunbergii,Quercus salicina,Tsuga sieboldii,Quercus acuta,Machilus japonica,Fagus crenata,Cleyera japonica,Camellia japonica,Illicium anisatum,Quercus gilva,Carpinus tschonoskii,Cryptomeria japonica,Chamaecyparis obtusa,Quercus glauca,Quercus crispula var. crispula,Cerasus jamasakura,Quercus serrata,Lithocarpus edulis,Cinnamomum yabunikkei,Cinnamomum camphora,Betula grossa,Toxicodendron sylvestre,Zelkova serrata,Cornus controversa var. controversa
K071,past,0.0,2.314961086613979,7.463246047684252,0.0,1.5491978773014667,4.078179963441251,3.257438882690917,0.0,0.0,0.8894634200476103,0.0,0.1394081740030471,0.5183627878423159,0.017671458676442587,0.0,0.017671458676442587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K072,past,0.0,0.0,0.02552544031041707,0.7716536955379929,5.262167694762904,0.17278759594743864,0.0,0.0,0.0,0.0471238898038469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K073,past,0.06675884388878311,0.007853981633974483,0.6950773746067418,21.804616511321658,5.218970795776044,1.2036226854065897,0.015707963267948967,0.0,0.0,0.19438604544086846,0.0,0.015707963267948967,0.007853981633974483,0.0,0.0667588438887831,0.05497787143782139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K074,past,0.0,0.0,0.0,5.786420968830701,1.6591536201771095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K075,past,0.0,0.0,0.08246680715673207,0.0,36.59366392809561,0.24936391687868986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8069966128908781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K076,past,0.0,0.0,0.1904590546238812,0.0,20.235783679935256,3.599087083768807,0.16493361431346415,0.0,0.0,0.2945243112740431,0.0,0.0,0.007853981633974483,0.0,0.0,0.06479534848028948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K077,past,0.0,0.0,0.0,0.0,12.375911559735291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K078,past,0.0,0.0,0.10602875205865553,0.35735616434583894,0.3436116964863836,0.031415926535897934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K079,past,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K080,past,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K081,past,12.809844045012381,0.26899887096362607,2.876520773443154,0.0,0.0,2.558434517267188,1.0465430527270998,0.40251655874119224,0.0,2.144136986075034,0.0,4.284346981333081,1.170243263462198,0.1040652566501619,8.268279165166637,0.2984513020910304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K082,past,4.089960935892212,3.255475387282423,4.8243082186688255,0.0,0.7853981633974483,1.6748615834450586,7.341509332357648,2.5662884989011623,1.8829920967453824,10.703013471698727,0.0,2.2933626371205493,2.862776305583699,0.5576326960121883,1.977239876353076,0.2984513020910303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K083,past,4.710425484976196,2.796017461694916,2.542726553999239,5.136503988619312,9.422814465360887,0.9267698328089891,1.5825772992458584,5.67253823513807,2.0106192982974678,0.07068583470577035,0.0,1.6434456569091607,0.5517422097867074,0.2454369260617026,0.10406525665016189,0.039269908169872414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K084,past,15.056082792329084,8.081747101359744,0.5615596868291756,0.9189158511750144,0.0,2.3071071049800045,2.273727683035613,10.076658436389263,8.770933989741003,0.17278759594743864,0.0,5.248423226903449,3.899501881268331,1.1564987956027426,0.0,0.017671458676442587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K085,past,2.0930861054541996,14.406165812117695,1.5158184553570753,0.0,0.0,1.8771016105199014,0.42018801741763484,8.505862109594366,4.343251843587889,0.16886060513045137,0.0,2.1657354355684637,0.6479534848028948,1.144717823151781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K086,past,6.69748283837174,0.08050331174823845,0.0,0.0,0.0,0.04908738521234052,3.8543414868729773,4.119413367019616,2.9432796173319375,0.43982297150257105,0.0,1.056360529769568,0.8678649705541804,1.4922565104551517,0.0,0.8973174016815847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K087,past,1.1152653920243765,0.0,0.0,0.0,0.09621127501618741,0.0,0.20224002707484295,15.863079405219962,1.7828538309122077,0.0,0.0,0.14726215563702155,0.2788163480060942,0.3200497515844602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K088,past,4.879286090106648,0.0,0.0,0.0,0.0,0.0,0.0,1.2389656027594746,0.2827433388230814,0.0,2.992367002544278,0.0,0.0,1.6532631339516288,0.0,2.083268628411732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K089,past,0.0,0.0,0.0,0.5222897786593031,10.033461537402403,0.06479534848028949,0.0,0.0,0.0,0.0,0.0,0.0,0.26899887096362607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K090,past,0.0,0.0,0.0,0.6067200812245288,2.9904035071357846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K091,past,0.0,5.835508354043041,11.967504514768619,0.0,4.266675522656638,1.1309733552923256,3.4753868730337087,0.0,0.0,0.10210176124166828,0.0,0.746128255227576,0.12762720155208535,0.007853981633974483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K092,past,0.0,0.0,0.0,0.5262167694762904,0.20616701789183017,0.017671458676442587,0.0,0.0,0.0,0.0,0.0,0.0,0.015707963267948967,0.0,0.08050331174823845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K093,past,0.0,0.15904312808798327,0.0,0.0,0.39662607251571136,0.17475109135593225,0.17475109135593225,0.0,0.0,1.8731746197029142,0.0,0.0,0.007853981633974483,0.007853981633974483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K094,past,0.0,9.58185759344887,1.3901547492134836,6.984153168011809,0.35539266893734534,0.039269908169872414,0.8855364292306229,0.0,8.460701715199011,0.0,0.0,0.9071348787240529,0.18653206380689397,0.6970408700152354,0.0,0.2552544031041707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K095,past,0.0,0.0,1.233075116533994,1.7632188768272714,3.4164820107789002,1.5491978773014667,0.47123889803846897,0.0,0.13744467859455345,0.056941366846315,0.0,0.0,0.3946625771072178,0.4908738521234052,0.0,0.170824100538945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K096,past,0.0,0.0,0.0,4.457134577280519,6.2949662796305486,3.7974001200266625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K097,past,0.0,0.0,0.0,4.325580384911446,6.933102287390975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K098,past,0.0,0.0,0.0,7.6203256803637425,0.9915651812892785,0.29648780668253677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K099,past,0.0,0.0,0.0,0.10799224746714914,0.007853981633974483,0.007853981633974483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K100,past,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K101,past,0.0,0.0,0.0,0.0,0.22187498115977916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K102,past,0.007853981633974483,0.0,0.0,5.399612373357457,1.3940817400304708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K103,past,9.634871969478198,0.0,0.0,1.853539665617978,0.0,0.0,0.0,0.007853981633974483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K104,past,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3298672286269283,0.0,0.0,0.24936391687868986,0.0,0.11191923828413639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K105,past,0.0,0.0,3.30259927708627,0.0,0.8914269154561039,0.017671458676442587,0.0,0.0,0.0,0.0,0.0,0.0,0.02356194490192345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K106,past,0.0,0.0,0.0,0.04319689898685966,8.191702844235387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K107,past,0.0,0.0,0.0,0.5478152189697202,0.12959069696057895,0.08246680715673207,0.035342917352885174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39269908169872414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K108,past,0.0,0.0,0.0,1.4156801895239006,0.0,0.15315264186250244,0.8757189521881549,0.0,0.0,0.0,0.0,0.0,0.07264933011426397,0.0,0.0,0.1786780821729195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K109,past,0.0,0.0,0.0,0.0,0.12566370614359174,0.170824100538945,0.0,0.0,0.0,0.0,0.0,0.0,0.06283185307179587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
